QRID,weight,SurveyPublic,DEMONYM,Q1,Q2a,Q2b,Q2c,Q2d,Q3,Q4,QLEGAL,Q5a,Q5b,Q5c,Q5d,QCURREL,Q6a,Q6b,Q6c,Q6d,Q6e,Q6f,QBORN,Q7a,Q7b,Q7c,Q7d,Q7e,Q8a,Q8b,Q8c,Q8d,Q8e,Q8f,Q8g,Q8h,Q8i,Q8j,Q8k,Q9,Q10,Q11,Q12,QCHREL,Q13,Q14,Q15a,Q15b,Q15c,Q15d,QFIGURESa,QFIGURESb,QFIGURESc,QFIGURESd,QFIGURESe,QFIGURESf,QFIGURESg,QFIGURESh,QFIGURESi,Q16_1,Q16_2,Q16_3,Q16_98,Q16_99,Q17,Q18,Q19,Q20a,Q20b,Q21,Q22a,Q22b,Q22c,Q22d,Q23,Q24a,Q24b,Q24c,Q24d,Q25a,Q25b,Q25c,Q26a,Q26b,Q27a,Q27b,Q27c,Q27d,Q27e,Q27f,Q27g,Q27h,Q27i,Q28,Q29,Q30,Q31,Q33,Q35,Q36,Q37,Q38a,Q38b,Q38c,Q39a,Q39b,Q39c,Q39d,QABORT,Q40a,Q40b,Q40c,Q40d,Q40e,QATTEND,QAGE,QAGE_NRHKG,QAGE_NRJPN,QAGE_NRKOR,QAGE_NRTWNrec,QAGE_NRVNM,QETHHKG,QETHTWN,QETHVNM,QFERT,QHH1,QHH2,Q41,QMARRIED,QEDUHKG,QEDUJPN,QEDUKOR,QEDUTWN,QEDUVNM,CHURCHEDUa,CHURCHEDUb,QPTYJPN,QPTYTWN,Q50,Q51,QZIPHKG,QZIPHKG2,QZIPJPN2,QZIPKOR,QZIPTWN,VietnamRegion,GenderRec,Language,ISCED,UrbanVietnam
4036466,0.565802574,4,4,3,3,3,3,3,2,3,4,1,1,2,1,1,1,2, ,2,1,2, ,2,2,1,1,1,2,2,2,2,2,2,1,2,1,1,2,1,1,1,2,8, , ,1,1,2,2,2,1,1,2,2,1, , ,2,1,1,2,2,2,2,3,2, , , ,2,1,1,2,2,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,2,1,2,2,1,1,2,2,2,1,4,1,4,2,3,4,3,3,3, ,55, , , , , , , , ,3, ,5, ,1, , ,8, , ,2,2, , , , , , , ,1, , ,2,5,5, 
4036470,0.790645967,4,4,3,3,3,3,3,2,3,4,3,2,2,1,2,1,1, ,1,1,1,2,2,2,1,1,2, , , , , , , , , , , ,4,1,1,3,2, , ,2,2,1,2,2,2,2,2,1,2, , ,2,1,2,2,2,2,2,4,2, , , ,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,98,98,1,1,1,1,1,1,2,1,1,2,3,1,1,2,2,2,3,4,3,2,2,1,4,3,3,4,4,57, , , , , , , , ,2, ,3, ,5, , ,8, , ,1,2, , , , , , , ,8, , ,2,5,5, 
4036548,0.552118482,4,4,3,3,3,3,3,2,3,98,3,1,3,3,1,2,2, ,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2, , ,2,1,2,2,2,1,2,2,2,1, , ,2,1,1,2,2,2,3,3,2, , , ,1,1,1,2,2,2,2,2,2,2,2,2,5,3,2,2,2,2,2,2,2,2,2,7,2,2,2,2,2,1,1,2,2,1,3,1,4,4,2,1,4,4,1,4, ,59, , , , , , , , ,3, ,5, ,1, , ,8, , ,2,2, , , , , , , ,15, , ,1,5,5, 
4036617,1.161082875,4,4,1,3,2,1,3,1,1,4,3,1,2,1,2,2,1, ,2,2,1,1,2,2,2,2,2, , , , , , , , , , , ,1,1,1,1,2, , ,2,2,1,2,2,2,2,2,1,2, , ,2,2,1,2,2,2, ,4,1,1,1,5,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,4,2,4,4,1,4,4,4,4,3,70, , , , , , , , ,2, ,2, ,1, , ,4, , ,2,2, , , , , , , ,16, , ,1,5,2, 
4036701,2.472743376,4,4,2,3,3,3,3,2,3,3,1,2,2,1,8,1,1, ,1,1,1,2,2,1,2,2,2, , , , , , , , , , , ,4,2,1,3,2, , ,2,2,2,2,2,2,2,2,2,2, , ,2,2,1,2,2,2, ,2,2, , , ,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,7,2,2,2,2,2,2,1,2,2,2,4,2,3,3,3,2,4,4,3,4, ,42, , , , , , , , ,2, ,1, ,2, , ,7, , ,2,2, , , , , , , ,2, , ,2,5,5, 
4036724,1.154769548,4,4,2,3,3,3,3,2,3,2,1,1,1,2,1,1,1, ,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,3,1, , ,2,1,2,2,2,1,2,2,2,1, , ,2,1,2,2,2,2,2,3,2, , , ,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,3,2,2,3, ,26, , , , , , , , ,0, ,3, ,4, , ,8, , ,2,2, , , , , , , ,99, , ,2,5,5, 
4036733,0.599618944,4,4,2,1,3,3,1,1,1,4,2,1,1,1,2,1,1, ,2,1,2,2,1,1,1,1,1, , , , , , , , , , , ,2,1,1,2,2, , ,2,2,1,2,2,2,2,2,2,2, , ,2,1,1,2,2,2,2,3,1,1,1,3,2,2,1,2,2,2,2,2,2,1,2,1,3,5,2,1,2,2,1,1,1,2,2,7,2,2,1,2,1,2,1,2,2,2,3,3,2,3,3,2,3,3,3,2,3,67, , , , , , , , ,2, ,4, ,1, , ,6, , ,1,2, , , , , , , ,8, , ,1,5,3, 
4036897,2.373398273,4,4,98,3,3,3,3,2,3,4,98,2,2,1,8,1,2, ,1,98,1, ,1,98,98,1,1, , , , , , , , , , , ,2,2,2,1,1, , ,2,2,2,2,2,1,2,2,2,2, , ,2,2,1,2,2,2, ,4,2, , , ,2,2,2,2,2,2,1,2,98,2,98,2,2,3,2,1,1,1,98,2,1,98,98,5,2,2,2,2,2,1,2,2,1,2,2,2,3,1,1,1,3,2,4,4, ,74, , , , , , , , ,3, ,1, ,5, , ,3, , ,2,2, , , , , , , ,8, , ,2,5,1, 
4037056,1.605377606,4,4,3,3,3,3,3,1,3,4,1,1,1,2,8,2,2, ,2,2,2, ,2,2,1,2,2, , , , , , , , , , , ,3,2,1,1,1, , ,2,2,2,2,1,2,2,2,2,2, , ,2,1,2,2,2,2,2,4,2, , , ,2,2,2,2,2,2,2,2,2,2,2,1,5,3,2,1,2,2,1,1,1,2,2,7,2,2,1,1,3,1,1,2,2,2,4,1,4,2,2,3,2,2,2,4, ,57, , , , , , , , ,3, ,3, ,1, , ,7, , ,2,2, , , , , , , ,12, , ,2,5,5, 
4037144,0.669888596,4,4,3,3,3,3,3,2,3,3,1,1,1,1,8,2,2, ,2,2,2, ,2,1,1,1,2, , , , , , , , , , , ,4,2,1,3,8, , ,2,2,2,2,2,2,2,2,2,2, , ,2,1,2,2,2,2,2,3,2, , , ,1,1,1,2,2,2,2,2,2,2,2,2,4,3,1,1,1,98,2,1,2,1,1,7,2,2,2,1,2,1,1,2,2,2,3,3,3,3,1,1,4,4,4,4, ,22, , , , , , , , ,0, ,5, ,4, , ,8, , ,2,2, , , , , , , ,14, , ,2,5,5, 
4037279,0.441814865,4,4,1,3,3,3,3,2,3,2,2,1,2,2,8,2,2, ,2,2,2, ,98,98,98,98,98, , , , , , , , , , , ,3,2,2,2,8, , ,2,2,2,2,2,2,2,2,2,2, , ,2,1,1,2,2,2,1,2,1,1,1,3,1,1,1,2,2,2,2,2,2,2,2,2,5,3,1,1,1,98,2,2,1,1,1,7,2,2,2,2,2,1,1,1,1,1,2,3,3,3,3,1,4,3,3,3, ,28, , , , , , , , ,0, ,4, ,4, , ,8, , ,2,2, , , , , , , ,1, , ,1,5,5, 
4037372,1.726749236,4,4,2,1,3,3,3,2,3,3,1,2,1,1,2,1,1, ,1,1,1,2,2,1,1,2,2, , , , , , , , , , , ,2,1,1,2,8, , ,2,2,1,2,2,2,2,2,1,2, , ,2,1,2,2,2,2,2,2,2, , , ,2,1,1,2,2,1,1,2,2,1,2,2,3,1,1,1,1,2,1,1,1,1,1,3,2,1,1,2,2,1,1,2,2,2,2,2,2,2,2,1,4,4,4,4,6,42, , , , , , , , ,2, ,2, ,1, , ,5, , ,2,2, , , , , , , ,7, , ,1,5,3, 
4037381,0.585234551,4,4,2,3,3,3,3,2,3,2,1,2,1,1,8,2,2, ,2,2,2, ,2,2,1,98,98, , , , , , , , , , , ,4,2,2,3,8, , ,2,1,2,2,2,2,2,2,2,2, , ,2,1,2,1,2,2,2,3,2, , , ,2,1,2,2,2,2,2,2,2,2,2,2,5,3,2,2,2,2,2,2,2,2,2,7,2,2,2,2,98,1,1,2,2,1,2,2,3,2,3,1,4,2,3,4, ,50, , , , , , , , ,2, ,3, ,1, , ,8, , ,2,2, , , , , , , ,3, , ,1,5,5, 
4037392,0.765838145,4,4,1,3,3,3,3,2,3,4,1,2,2,1,2,2,1, ,1,2,2,1,2,2,2,1,2, , , , , , , , , , , ,2,1,1,1,8, , ,2,2,1,2,2,2,2,2,1,2, , ,2,2,1,2,2,2, ,3,2, , , ,1,1,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,1,1,1,1,1,1,2,2,2,1,2,2,1,1,1,98,98,2,1,2,3,2,2,3,3,3,3,6,32, , , , , , , , ,0, ,2, ,1, , ,8, , ,2,2, , , , , , , ,1, , ,2,5,5, 
4037424,0.585234551,4,4,1,1,3,3,1,1,1,4,3,1,3,1,2,2,1, ,2,1,2,2,1,1,1,1,2, , , , , , , , , , , ,3,1,1,2,2, , ,2,2,2,2,2,2,2,2,1,2, , ,2,1,2,2,2,2,2,2,2, , , ,2,2,2,2,2,2,2,2,2,1,2,2,4,4,2,1,1,2,1,1,1,1,1,4,2,2,2,2,1,1,2,2,1,2,3,2,1,3,2,1,4,3,1,2,3,48, , , , , , , , ,2, ,4, ,1, , ,8, , ,2,2, , , , , , , ,2, , ,1,5,5, 
4037588,1.209683188,4,4,2,3,3,3,1,1,3,3,1,1,1,1,8,2,2, ,2,2,2, ,1,2,1,1,2, , , , , , , , , , , ,2,1,1,2,2, , ,2,2,2,2,2,2,2,2,2,2, , ,2,2,1,2,2,2, ,3,1,1,2,1,1,2,1,2,2,1,2,2,1,1,2,2,5,4,1,1,1,1,1,2,1,1,2,7,2,2,1,1,2,1,1,1,2,2,3,1,3,3,2,2,3,3,4,4, ,36, , , , , , , , ,0, ,5, ,4, , ,6, , ,2,2, , , , , , , ,13, , ,1,5,3, 
4037593,0.979843715,4,4,3,4,4,3,4,1,3,4,1,3,3,1,8,2,2, ,98,1,2, ,2,2,2,2,2, , , , , , , , , , , ,3,2,2,3,2, , ,2,2,2,2,2,2,2,2,2,2, , ,98,2,1,2,2,2, ,3,2, , , ,2,2,2,2,2,2,2,2,2,2,2,2,5,1,2,2,2,2,2,2,2,2,2,7,2,2,1,2,2,1,3,2,2,2,1,3,2,3,2,2,4,4,4,98, ,71, , , , , , , , ,4, ,3, ,1, , ,3, , ,2,2, , , , , , , ,1, , ,1,5,1, 
4037621,1.057903849,4,4,2,3,3,3,3,2,3,3,3,1,2,1,2,2,1, ,2,1,2,2,2,2,2,1,1, , , , , , , , , , , ,2,2,1,1,2, , ,2,2,1,2,2,2,2,2,1,2, , ,2,1,1,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,1,98,2,98,98,1,98,98,4,2,1,1,2,2,1,1,2,2,2,2,2,2,2,2,1,4,4,2,4,3,25, , , , , , , , ,0, ,3, ,4, , ,6, , ,1,2, , , , , , , ,1, , ,1,5,3, 
4037648,0.599618944,4,4,2,1,2,2,1,1,3,4,1,1,1,1,8,1,2, ,2,1,2, ,2,2,1,2,2, , , , , , , , , , , ,4,2,2,3,1, , ,2,2,2,2,2,2,2,2,2,2, , ,2,1,2,2,2,2,2,4,2, , , ,1,1,1,2,2,2,2,2,2,2,2,2,5,2,2,2,2,2,2,2,2,2,2,7,2,2,1,2,2,1,2,2,2,1,3,3,4,3,1,1,4,4,4,4, ,66, , , , , , , , ,2, ,4, ,1, , ,7, , ,2,2, , , , , , , ,8, , ,1,5,5, 
4037650,0.948297098,4,4,3,3,3,3,3,2,3,2,3,2,2,1,2,1,1, ,1,1,2,2,1,2,1,1,1, , , , , , , , , , , ,2,1,1,2,2, , ,2,2,1,2,2,2,2,2,1,2, , ,2,2,1,2,2,2, ,2,98, , , ,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,1,1,1,2,2,1,1,1,2,2,1,1,1,2,2,1,2,2,2,1,2,1,2,2,2,2,3,3,2,2,21, , , , , , , , ,0, ,3, ,4, , ,7, , ,1,2, , , , , , , ,1, , ,2,5,5, 
4037660,2.006714577,4,4,2,3,3,3,3,2,1,2,1,1,1,1,2,2,1, ,1,1,2,2,1,2,1,1,2, , , , , , , , , , , ,2,1,1,1,2, , ,2,2,1,2,2,2,1,2,1,2, , ,2,1,2,2,2,2,2,2,2, , , ,1,1,1,2,1,1,2,1,1,1,1,1,2,1,2,1,1,2,2,2,1,1,2,5,1,2,1,1,1,2,1,2,2,2,2,4,2,4,2,2,4,4,3,4,6,53, , , , , , , , ,2, ,3, ,1, , ,6, , ,2,2, , , , , , , ,4, , ,2,5,3, 
4037758,0.396039541,4,4,2,3,2,3,2,2,2,2,2,2,1,1,2,2,1, ,2,2,2,2,2,2,2,1,1, , , , , , , , , , , ,3,2,2,2,2, , ,2,2,1,2,2,2,2,2,2,2, , ,2,2,1,2,2,2, ,1,1,1,1,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,6,2,2,2,2,2,1,1,2,2,1,2,2,2,2,1,2,4,3,3,4,5,22, , , , , , , , ,0, ,4, ,4, , ,8, , ,1,2, , , , , , , ,1, , ,2,5,5, 
4037927,1.014440612,4,4,1,3,3,3,3,1,3,4,3,1,2,1,8,1,2, ,2,1,1, ,1,1,1,1,1, , , , , , , , , , , ,3,2,1,3,8, , ,2,2,2,2,2,2,2,2,2,2, , ,2,1,1,2,2,2,2,1,1,1,1,3,1,2,1,2,2,1,1,1,1,1,2,1,5,1,1,1,1,1,1,1,1,1,1,7,2,2,2,1,1,2,1,2,2,2,3,3,4,1,1,1,4,2,3,3, ,51, , , , , , , , ,2, ,4, ,1, , ,8, , ,2,2, , , , , , , ,3, , ,2,5,5, 
4037939,1.057903849,4,4,2,3,3,3,3,2,3,1,1,1,2,1,8,1,2, ,2,2,2, ,2,2,1,1,1, , , , , , , , , , , ,4,2,2,2,8, , ,2,2,2,2,2,2,2,2,2,2, , ,2,1,1,2,2,2,2,4,1,1,1,5,1,2,1,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,7,2,1,1,1,3,1,1,1,98,1,2,1,3,3,1,3,4,4,3,4, ,34, , , , , , , , ,0, ,2, ,4, , ,6, , ,2,2, , , , , , , ,1, , ,1,5,3, 
4037991,1.032697615,4,4,2,3,3,3,3,2,3,4,2,1,1,1,8,2,2, ,1,1,1, ,2,1,1,1,2, , , , , , , , , , , ,3,1,1,2,1, , ,2,2,2,2,2,2,2,2,2,2, , ,2,1,1,2,2,2,2,1,1,1,1,3,1,1,1,2,2,1,2,2,1,2,1,2,4,4,1,1,1,2,1,1,1,1,1,7,2,1,2,1,2,2,1,2,2,2,1,3,1,1,2,1,4,4,3,4, ,37, , , , , , , , ,2, ,2, ,1, , ,8, , ,1,2, , , , , , , ,8, , ,2,5,5, 
4038019,0.743797774,4,4,2,3,3,3,3,2,1,3,1,1,1,1,2,2,1, ,1,1,1,2,2,2,2,2,2, , , , , , , , , , , ,1,1,1,2,1, , ,2,2,1,2,2,2,2,2,1,2, , ,2,1,2,2,2,2,2,2,1,1,1,3,1,1,2,2,2,2,2,1,1,2,2,1,3,3,98,1,1,98,2,2,1,1,1,1,2,2,2,1,2,2,1,1,2,1,98,1,4,1,1,1,2,4,1,4,3,69, , , , , , , , ,1, ,2, ,1, , ,6, , ,2,2, , , , , , , ,1, , ,2,5,3, 
4038023,0.303121239,4,4,3,1,2,3,3,1,2,4,3,1,2,1,1,1,2, ,1,1,1, ,2,2,1,1,1,2,2,1,1,1,1,1,2,1,1,1,2,1,1,2,1, , ,1,1,2,2,2,1,2,2,2,1, , ,2,1,2,2,2,2,2,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,2,3,3,2,1,1,1,1,1,1,1,98,5,2,1,1,2,1,1,1,2,2,2,3,2,3,2,3,1,4,2,3,4, ,66, , , , , , , , ,2, ,2, ,1, , ,10, , ,1,2, , , , , , , ,15, , ,1,5,5, 
4038034,2.472743376,4,4,2,3,3,3,3,2,3,1,1,1,1,1,2,2,1, ,98,2,2,1,2,2,1,1,2, , , , , , , , , , , ,2,1,1,2,2, , ,2,2,1,2,2,2,2,2,1,2, , ,2,2,1,2,2,2, ,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,5,2,2,2,1,2,2,1,1,1,1,2,2,2,1,1,2,2,1,2,2,2,3,4,2,4,1,2,4,2,2,3,1,33, , , , , , , , ,0, ,5, ,4, , ,6, , ,2,2, , , , , , , ,11, , ,2,5,3, 
4038047,1.354786287,4,4,3,3,3,3,3,1,3,2,1,1,1,1,2,2,1, ,2,1,2,1,2,2,2,1,2, , , , , , , , , , , ,1,1,1,1,2, , ,2,2,1,2,2,2,2,2,1,2, , ,2,1,2,2,2,2,2,2,2, , , ,2,2,2,2,1,1,2,1,1,2,2,2,4,2,2,2,2,2,2,1,1,1,1,3,2,2,2,2,2,1,1,2,2,2,2,2,2,4,2,1,4,4,1,2,4,64, , , , , , , , ,1, ,2, ,1, , ,6, , ,1,2, , , , , , , ,1, , ,2,5,3, 
4038354,1.204287334,4,4,1,1,3,3,3,1,3,2,3,1,3,1,8,2,2, ,2,2,1, ,1,1,1,1,1, , , , , , , , , , , ,3,2,2,98,2, , ,2,2,2,2,2,2,2,2,2,2, , ,2,2,1,2,2,2, ,1,1,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,5,5,2,2,2,2,2,2,2,2,2,7,2,2,2,2,2,2,1,2,2,2,4,4,3,1,2,3,4,3,4,4, ,54, , , , , , , , ,2, ,3, ,1, , ,6, , ,2,2, , , , , , , ,10, , ,1,5,3, 
4038357,1.426534822,4,4,2,3,3,3,3,2,1,4,2,1,2,2,8,2,2, ,2,1,2, ,2,2,2,2,2, , , , , , , , , , , ,3,2,2,2,8, , ,2,2,2,2,2,2,2,2,1,2, , ,2,2,1,2,2,2, ,3,1,1,1,4,2,2,2,2,2,2,2,2,2,2,2,2,5,5,2,2,2,2,2,2,2,2,2,6,2,1,1,1,2,1,1,2,2,2,3,2,3,2,2,1,4,4,4,4, ,40, , , , , , , , ,0, ,2, ,1, , ,7, , ,2,2, , , , , , , ,8, , ,1,5,5, 
4038375,0.483485064,4,4,2,3,3,3,3,2,3,2,1,1,1,1,2,1,1, ,1,1,1,2,1,2,1,1,1, , , , , , , , , , , ,4,2,2,3,2, , ,1,1,2,1,1,1,1,1,1,1, , ,1,1,2,2,2,2,2,2,2, , , ,1,1,1,1,2,2,2,2,2,2,2,2,5,4,1,1,1,1,1,1,1,1,1,7,2,2,1,1,2,1,1,2,2,2,4,1,2,1,1,1,4,4,4,4,7,49, , , , , , , , ,2, ,2, ,1, , ,8, , ,2,2, , , , , , , ,4, , ,1,5,5, 
4038458,0.747316137,4,4,2,3,3,3,3,2,3,2,1,1,2,2,8,2,2, ,2,2,2, ,2,2,1,1,2, , , , , , , , , , , ,3,2,1,2,1, , ,2,2,2,2,2,2,2,2,2,2, , ,2,1,2,2,2,2,2,3,1,1,1,3,2,2,2,2,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,7,2,2,1,2,2,2,2,2,1,2,2,1,2,1,2,2,4,4,4,4, ,34, , , , , , , , ,2, ,2, ,1, , ,8, , ,2,2, , , , , , , ,14, , ,1,5,5, 
4038681,1.15768108,4,4,3,1,3,2,3,1,1,3,1,2,2,1,2,1,2, ,2,1,1,2,1,1,1,1,1, , , , , , , , , , , ,3,2,2,2,8, , ,2,2,2,2,2,2,2,2,2,2, , ,2,2,1,2,2,2, ,1,1,2,1,2,1,1,2,2,2,1,2,2,1,2,2,2,4,2,2,2,2,2,2,2,2,1,2,7,2,1,2,2,2,1,1,1,2,1,1,2,1,3,2,3,4,3,3,4,5,51, , , , , , , , ,2, ,4, ,1, , ,6, , ,1,2, , , , , , , ,8, , ,1,5,3, 
4038716,1.161082875,4,4,2,3,3,3,3,1,3,3,3,1,2,1,8,2,2, ,2,2,2, ,2,2,2,2,2, , , , , , , , , , , ,4,2,2,2,8, , ,2,2,2,2,2,2,2,2,1,2, , ,2,1,2,2,2,2,2,3,2, , , ,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,1,1,2,2,2,2,2,2,7,2,2,1,2,2,1,1,2,2,2,3,4,2,4,4,1,4,4,4,4, ,79, , , , , , , , ,4, ,2, ,1, , ,4, , ,2,2, , , , , , , ,5, , ,1,5,2, 
4038847,0.743797774,4,4,2,3,3,4,3,2,3,4,3,1,2,1,6,1,2, ,2,1,2, ,1,1,1,98,1, , , , , , , , , , , ,4,2,2,3,2, , ,2,2,2,2,1,1,2,2,2,2, , ,2,2,1,2,2,2, ,4,1,2,1,2,1,1,1,2,1,2,2,2,2,1,1,2,1,1,98,1,1,2,2,2,1,98,98,7,1,3,2,1,2,2,2,2,2,2,4,3,1,3,2,2,4,98,2,4, ,76, , , , , , , , ,2, ,2, ,1, , ,6, , ,1,2, , , , , , , ,1, , ,2,5,3, 
4038855,1.258110858,4,4,2,1,3,3,3,2,3,4,1,1,1,2,2,2,1, ,1,2,2,1,2,2,2,2,2, , , , , , , , , , , ,1,1,1,2,1, , ,2,2,1,2,2,2,2,2,1,2, , ,2,1,1,2,2,2,2,4,1,1,2,2,1,2,2,2,1,1,2,1,1,2,2,2,3,1,2,1,2,2,2,2,2,1,1,2,2,1,1,1,2,1,1,2,2,2,1,3,1,3,2,2,4,4,4,4,3,72, , , , , , , , ,2, ,2, ,1, , ,6, , ,2,2, , , , , , , ,2, , ,2,5,3, 
4038904,0.838068915,4,4,3,3,3,3,3,2,1,3,3,2,1,1,2,2,1, ,2,1,2,2,2,2,1,1,1, , , , , , , , , , , ,2,1,1,3,2, , ,2,2,1,2,2,2,1,2,1,2, , ,2,1,2,2,2,2,2,2,1,1,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,98,1,1,1,1,1,2,1,2,1,2,2,1,1,2,2,1,1,2,2,2,2,2,4,3,3,4,3,51, , , , , , , , ,2, ,2, ,1, , ,8, , ,2,2, , , , , , , ,8, , ,2,5,5, 
4038907,0.303121239,4,4,3,1,2,1,3,1,1,4,2,1,2,1,8,2,2, ,2,2,2, ,2,2,2,2,2, , , , , , , , , , , ,3,2,1,1,2, , ,2,2,2,2,2,2,2,2,2,2, , ,2,1,2,2,2,2,2,2,2, , , ,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,1,2,2,2,2,1,2,2,7,2,2,1,2,1,1,1,2,2,2,4,4,4,4,2,2,3,3,3,3, ,19, , , , , , , , ,0, ,4, ,4, , ,8, , ,2,2, , , , , , , ,1, , ,1,5,5, 
4038928,0.386789483,4,4,3,1,2,1,1,3,3,4,2,1,2,1,8,2,2, ,2,2,2, ,2,98,2,1,1, , , , , , , , , , , ,4,2,2,2,8, , ,2,1,2,2,2,2,2,2,2,2, , ,2,2,1,2,2,2, ,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,4,2,1,2,2,2,2,2,2,2,7,2,2,1,1,1,1,1,2,2,2,2,3,2,3,2,1,4,3,2,3, ,57, , , , , , , , ,2, ,2, ,1, , ,8, , ,2,2, , , , , , , ,5, , ,1,5,5, 
4038949,1.369222263,4,4,1,3,3,3,3,1,3,4,3,1,1,1,2,2,1, ,2,2,2,1,2,2,2,2,2, , , , , , , , , , , ,1,1,1,1,8, , ,2,2,1,2,2,2,2,2,1,2, , ,2,1,2,2,2,2,3,98,2, , , ,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,2,1,1,1,1,1,2,2,1,2,2,2,2,1,1,1,1,2,2,2,4,4,2,4,1,98,3,2,75, , , , , , , , ,3, ,2, ,1, , ,2, , ,2,2, , , , , , , ,8, , ,1,5,1, 
4039035,1.789411539,4,4,3,3,3,3,3,2,3,2,1,1,1,1,2,2,2, ,2,1,2,2,2,2,1,1,1, , , , , , , , , , , ,3,1,1,2,2, , ,2,2,2,2,2,2,2,2,2,2, , ,2,1,2,2,2,2,2,3,2, , , ,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,1,2,2,2,2,2,2,2,6,2,1,2,2,3,1,1,2,2,1,2,2,2,2,2,2,4,4,3,3,4,25, , , , , , , , ,0, ,2, ,4, , ,6, , ,2,2, , , , , , , ,14, , ,1,5,3, 
4039081,1.032697615,4,4,2,3,3,3,3,2,3,2,1,1,2,1,1,1,2, ,2,2,2, ,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1, , ,2,2,2,2,2,2,2,2,2,2, , ,2,1,2,2,2,2,1,2,2, , , ,2,2,2,2,2,1,2,2,2,2,2,2,5,4,1,1,1,2,2,2,2,2,2,7,2,2,1,2,2,1,1,2,2,2,2,4,2,4,2,1,4,4,3,4, ,41, , , , , , , , ,2, ,2, ,1, , ,8, , ,2,2, , , , , , , ,8, , ,2,5,5, 
4039121,0.45612659,4,4,2,1,3,3,1,2,3,2,1,1,2,1,8,2,2, ,2,1,2, ,2,2,2,1,2, , , , , , , , , , , ,3,2,2,2,1, , ,2,1,2,2,2,1,2,2,2,1, , ,2,1,1,2,2,2,2,4,2, , , ,1,1,1,2,2,2,2,2,2,2,2,2,4,3,2,2,2,2,2,2,2,2,2,6,2,2,2,2,2,1,1,2,2,2,2,3,4,2,1,4,4,4,4,3, ,63, , , , , , , , ,4, ,5, ,1, , ,8, , ,2,2, , , , , , , ,8, , ,1,5,5, 
4039208,1.295391462,4,4,3,3,3,3,3,2,3,2,3,2,3,3,8,1,2, ,2,1,2, ,2,2,1,2,2, , , , , , , , , , , ,3,2,2,2,8, , ,2,2,2,2,2,2,2,2,2,2, , ,2,1,2,2,2,2,2,3,2, , , ,2,2,2,2,2,2,2,2,2,2,2,2,5,3,2,2,2,2,2,2,2,2,2,7,2,2,2,2,2,1,1,1,2,2,2,3,2,3,2,2,3,4,3,3, ,25, , , , , , , , ,0, ,4, ,4, , ,8, , ,1,2, , , , , , , ,14, , ,2,5,5, 
4039264,0.441814865,4,4,2,1,2,1,2,1,1,4,1,2,2,1,2,2,2, ,2,1,2,2,2,2,2,1,1, , , , , , , , , , , ,2,1,1,1,2, , ,2,2,2,2,2,2,2,2,1,2, , ,2,1,1,2,2,2,2,1,2, , , ,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,1,1,2,1,1,1,1,1,3,2,2,1,2,1,1,1,1,2,1,2,2,2,3,2,1,4,3,3,4,5,26, , , , , , , , ,0, ,3, ,4, , ,8, , ,2,2, , , , , , , ,1, , ,1,5,5, 
